dataset,paper_name,paper_group,kernel,variant,grid_index,status,error,kernel_params,validation_metric,validation_score,support_vectors,support_fraction,selection_utility,fit_seconds
cloud,cloud,experiment_2,poly,robust_hybrid,16,ok,,"{""C"": 1.0, ""coef0"": 0.0, ""degree"": 3}",accuracy,0.7222222222222222,5,0.0735294117647058,0.7222222222222222,0.0496625999949174
cloud,cloud,experiment_2,poly,robust_hybrid,17,ok,,"{""C"": 1.0, ""coef0"": 0.5, ""degree"": 3}",accuracy,0.7222222222222222,6,0.088235294117647,0.7222222222222222,0.0466706000006524
cloud,cloud,experiment_2,poly,robust_hybrid,18,ok,,"{""C"": 1.0, ""coef0"": 1.0, ""degree"": 3}",accuracy,0.7777777777777778,20,0.2941176470588235,0.7777777777777778,0.0505748999858042
cloud,cloud,experiment_2,poly,robust_hybrid,19,ok,,"{""C"": 1.0, ""coef0"": 0.0, ""degree"": 4}",accuracy,0.7222222222222222,6,0.088235294117647,0.7222222222222222,0.0379889000032562
cloud,cloud,experiment_2,poly,robust_hybrid,20,ok,,"{""C"": 1.0, ""coef0"": 0.5, ""degree"": 4}",accuracy,0.7777777777777778,29,0.4264705882352941,0.7777777777777778,0.0781385000009322
cloud,cloud,experiment_2,poly,robust_hybrid,21,ok,,"{""C"": 1.0, ""coef0"": 1.0, ""degree"": 4}",accuracy,0.7777777777777778,25,0.3676470588235294,0.7777777777777778,0.0526588000066112
cloud,cloud,experiment_2,poly,robust_hybrid,22,ok,,"{""C"": 1.0, ""coef0"": 0.0, ""degree"": 5}",accuracy,0.7222222222222222,6,0.088235294117647,0.7222222222222222,0.0393909999984316
cloud,cloud,experiment_2,poly,robust_hybrid,23,ok,,"{""C"": 1.0, ""coef0"": 0.5, ""degree"": 5}",accuracy,0.7222222222222222,20,0.2941176470588235,0.7222222222222222,0.0552323000010801
cloud,cloud,experiment_2,poly,robust_hybrid,24,ok,,"{""C"": 1.0, ""coef0"": 1.0, ""degree"": 5}",accuracy,0.7777777777777778,31,0.4558823529411764,0.7777777777777778,0.0590830000001005
cloud,cloud,experiment_2,poly,robust_hybrid,25,ok,,"{""C"": 10.0, ""coef0"": 0.0, ""degree"": 2}",accuracy,0.7222222222222222,21,0.3088235294117647,0.7222222222222222,0.0752987999876495
cloud,cloud,experiment_2,poly,robust_hybrid,26,ok,,"{""C"": 10.0, ""coef0"": 0.5, ""degree"": 2}",accuracy,0.7777777777777778,21,0.3088235294117647,0.7777777777777778,0.0439512000011745
cloud,cloud,experiment_2,poly,robust_hybrid,27,ok,,"{""C"": 10.0, ""coef0"": 1.0, ""degree"": 2}",accuracy,0.5555555555555556,32,0.4705882352941176,0.5555555555555556,0.0615968000056454
cloud,cloud,experiment_2,poly,robust_hybrid,28,ok,,"{""C"": 10.0, ""coef0"": 0.0, ""degree"": 3}",accuracy,0.7222222222222222,16,0.2352941176470588,0.7222222222222222,0.0483993000088958
cloud,cloud,experiment_2,poly,robust_hybrid,29,ok,,"{""C"": 10.0, ""coef0"": 0.5, ""degree"": 3}",accuracy,0.7777777777777778,26,0.3823529411764705,0.7777777777777778,0.0418381000054068
cloud,cloud,experiment_2,poly,robust_hybrid,30,ok,,"{""C"": 10.0, ""coef0"": 1.0, ""degree"": 3}",accuracy,0.5555555555555556,31,0.4558823529411764,0.5555555555555556,0.0452031000022543
cloud,cloud,experiment_2,poly,robust_hybrid,31,ok,,"{""C"": 10.0, ""coef0"": 0.0, ""degree"": 4}",accuracy,0.7222222222222222,11,0.1617647058823529,0.7222222222222222,0.0556859999924199
cloud,cloud,experiment_2,poly,robust_hybrid,32,ok,,"{""C"": 10.0, ""coef0"": 0.5, ""degree"": 4}",accuracy,0.6666666666666666,32,0.4705882352941176,0.6666666666666666,0.0437466000003041
cloud,cloud,experiment_2,poly,robust_hybrid,33,ok,,"{""C"": 10.0, ""coef0"": 1.0, ""degree"": 4}",accuracy,0.6666666666666666,33,0.4852941176470588,0.6666666666666666,0.0304388000076869
cloud,cloud,experiment_2,poly,robust_hybrid,34,ok,,"{""C"": 10.0, ""coef0"": 0.0, ""degree"": 5}",accuracy,0.7222222222222222,10,0.1470588235294117,0.7222222222222222,0.0440545000019483
cloud,cloud,experiment_2,poly,robust_hybrid,35,ok,,"{""C"": 10.0, ""coef0"": 0.5, ""degree"": 5}",accuracy,0.5555555555555556,48,0.7058823529411765,0.5555555555555556,0.0358206999953836
cloud,cloud,experiment_2,poly,robust_hybrid,36,ok,,"{""C"": 10.0, ""coef0"": 1.0, ""degree"": 5}",accuracy,0.6666666666666666,42,0.6176470588235294,0.6666666666666666,0.0317159999976865
cloud,cloud,experiment_2,poly,robust_hybrid,37,ok,,"{""C"": 100.0, ""coef0"": 0.0, ""degree"": 2}",accuracy,0.6111111111111112,25,0.3676470588235294,0.6111111111111112,0.0487332999909995
